ElementGlobalId,IfcClass,ElementName,PropertySet,PropertyName,DataType
2eGk8b7S9EYgiKcuDXjVEb,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593948,Identity Data,Assembly Description,str
37ERv$vjXCjPUDTL4UUcU5,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630255,Identity Data,Assembly Description,str
2eGk8b7S9EYgiKcuDXjVFr,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593996,Identity Data,Assembly Description,str
3GwfSEHKz9oQo6IxbdcAsH,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:641138,Identity Data,Assembly Description,str
37ERv$vjXCjPUDTL4UUcHh,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630273,Identity Data,Assembly Description,str
37ERv$vjXCjPUDTL4UUcHW,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630282,Identity Data,Assembly Description,str
2qwqb_HL9EKO1kbOFaSgFn,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:577829,Identity Data,Assembly Description,str
17feEoBzz3lPZ8E5f8e9GD,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:710675,Identity Data,Assembly Description,str
37ERv$vjXCjPUDTL4UUcUI,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630264,Identity Data,Assembly Description,str
270CRfYljClP3lAwmpBQku,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:613255,Identity Data,Assembly Description,str
37ERv$vjXCjPUDTL4UUcUt,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630237,Identity Data,Assembly Description,str
11fFDzf5T9R8MY5BgdZxYG,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:712372,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5Rr,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:640079,Identity Data,Assembly Description,str
0Uk_0$329EPPWa7jxMy3lJ,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:610225,Identity Data,Assembly Description,str
2eGk8b7S9EYgiKcuDXjVEE,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593975,Identity Data,Assembly Description,str
3FD25pQh93iwhuv3DUYieu,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:588915,Identity Data,Assembly Description,str
0p0l5UL3z4bARmm2orwz3R,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635503,Identity Data,Assembly Description,str
3CSAfi4Zn09exUD_brFZMF,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:619623,Identity Data,Assembly Description,str
1G$vhmQXn2Jvv399dvK$66,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:612023,Identity Data,Assembly Description,str
2eGk8b7S9EYgiKcuDXjVES,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593957,Identity Data,Assembly Description,str
3qZnpD2c15qvsmjTSS$Ftj,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:590396,Identity Data,Assembly Description,str
3CSAfi4Zn09exUD_brFZM_,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:619606,Identity Data,Assembly Description,str
1NAlaKy5fFXeFbPxNNJeCD,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:603595,Identity Data,Assembly Description,str
1pT7e75LjAgh6lOpeitwoH,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:633592,Identity Data,Assembly Description,str
0p0l5UL3z4bARmm2orwz3l,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635483,Identity Data,Assembly Description,str
37ERv$vjXCjPUDTL4UUcU_,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630228,Identity Data,Assembly Description,str
1pT7e75LjAgh6lOpeitwZs,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:634527,Identity Data,Assembly Description,str
3S7CYugLb5EwvHuVha9Jfg,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708746,Identity Data,Assembly Description,str
3N0jYBzwL4wx$15TeRgFum,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:618922,Identity Data,Assembly Description,str
1xQxjqdub1F9Zkcf7hNalZ,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:587070,Identity Data,Assembly Description,str
37ERv$vjXCjPUDTL4UUcUC,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630246,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5Oe,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640146,Identity Data,Assembly Description,str
3jHr1vyBX8GP4OQyNAvg1k,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:614921,Identity Data,Assembly Description,str
270CRfYljClP3lAwmpBQkd,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:613272,Identity Data,Assembly Description,str
1i8VmiVhTBJfZn39qjfOrE,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:614081,Identity Data,Assembly Description,str
3R7vfnWVP1sAO5n1HY8oDu,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:607185,Identity Data,Assembly Description,str
270CRfYljClP3lAwmpBQkT,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:613282,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5OT,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640167,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5R2,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640120,Identity Data,Assembly Description,str
1GkzlmPcH0QOU$zSigxFG_,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:611156,Identity Data,Assembly Description,str
1NAlaKy5fFXeFbPxNNJe2K,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603730,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5Rd,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640093,Identity Data,Assembly Description,str
1NAlaKy5fFXeFbPxNNJeCU,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:603608,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5RS,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640102,Identity Data,Assembly Description,str
3qZnpD2c15qvsmjTSS$Fvx,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:590250,Identity Data,Assembly Description,str
0Uk_0$329EPPWa7jxMy3lS,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:610238,Identity Data,Assembly Description,str
3Xrq1Ptmj3PvyFm$JMrt_4,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:608548,Identity Data,Assembly Description,str
1ddORp9pX9lQGia16eqEWa,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:709237,Identity Data,Assembly Description,str
2dvOhhm4X0cB3xrC6gdXMG,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:637969,Identity Data,Assembly Description,str
2eGk8b7S9EYgiKcuDXjVEN,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593966,Identity Data,Assembly Description,str
3qZnpD2c15qvsmjTSS$FqN,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:590534,Identity Data,Assembly Description,str
15uZAUeUv0ShrxXNlJxaFr,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:639058,Identity Data,Assembly Description,str
35urAQ2xzE28F_hrP6UoZX,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:709457,Identity Data,Assembly Description,str
15uZAUeUv0ShrxXNlJxaFk,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:639049,Identity Data,Assembly Description,str
0p0l5UL3z4bARmm2orwz3I,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635494,Identity Data,Assembly Description,str
2Ib0b0DrX7NgPFxrhA8IUT,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:585441,Identity Data,Assembly Description,str
1Bt2bbQ3vCRRncVtkgKp5C,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:581988,Identity Data,Assembly Description,str
3jHr1vyBX8GP4OQyNAvgEc,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:614849,Identity Data,Assembly Description,str
2jgIc0Qiv6mgnxn7VATThi,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:609155,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5O3,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640185,Identity Data,Assembly Description,str
3WXsVyiXDCAPWj3vH36e$U,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:589254,Identity Data,Assembly Description,str
3jHr1vyBX8GP4OQyNAvgEG,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:614903,Identity Data,Assembly Description,str
3cBzjqVX552gQYvldt9dKw,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:591074,Identity Data,Assembly Description,str
0p0l5UL3z4bARmm2orwz3a,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635472,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5Op,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640137,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5OA,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640176,Identity Data,Assembly Description,str
0p0l5UL3z4bARmm2orwz21,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635445,Identity Data,Assembly Description,str
3_T5bNv6XAJPJSfD_AzAjS,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:631560,Identity Data,Assembly Description,str
2JWVbDSvH5NPljwtB7V5OX,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:640155,Identity Data,Assembly Description,str
3N0jYBzwL4wx$15TeRgFuj,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:618935,Identity Data,Assembly Description,str
3P_IgBZvj44wQ797S6G0wp,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:710110,Identity Data,Assembly Description,str
3S7CYugLb5EwvHuVha9Jf9,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708777,Identity Data,Assembly Description,str
1Bt2bbQ3vCRRncVtkgKp5p,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:581979,Identity Data,Assembly Description,str
